#!2theta	Int
#
4.85399	25.53266
4.85925	24.78634
4.86451	24.61530
4.86978	24.56412
4.87504	24.36302
4.88030	24.77434
4.88556	25.92428
4.89082	26.86598
4.89609	27.65502
4.90135	28.83622
4.90661	29.08482
4.91187	28.81606
4.91713	27.73256
4.92239	26.72496
4.92765	27.17772
4.93292	26.94300
4.93818	26.93514
4.94344	26.78182
4.94870	26.55254
4.95396	26.08030
4.95922	25.78990
4.96448	25.61276
4.96974	25.21954
4.97500	24.94072
4.98026	25.29572
4.98552	25.51158
4.99078	25.72568
4.99604	25.83750
5.00130	25.91630
5.00656	25.98302
5.01182	25.93146
5.01708	25.21020
5.02234	24.19202
5.02760	23.85148
5.03286	23.78602
5.03812	23.22958
5.04338	23.88608
5.04864	25.47492
5.05390	26.23804
5.05916	25.49304
5.06442	25.34864
5.06967	25.64744
5.07493	25.45098
5.08019	25.47142
5.08545	25.34886
5.09071	24.25688
5.09597	24.14426
5.10123	24.37396
5.10648	24.47134
5.11174	24.60206
5.11700	24.73808
5.12226	24.75424
5.12752	25.00566
5.13277	24.61084
5.13803	24.77986
5.14329	25.33782
5.14855	25.96736
5.15381	26.53380
5.15906	26.10888
5.16432	25.26188
5.16958	25.13142
5.17483	24.98368
5.18009	24.61226
5.18535	24.99576
5.19061	24.77704
5.19586	24.89960
5.20112	25.02162
5.20638	24.49940
5.21163	25.11628
5.21689	25.07426
5.22215	25.42686
5.22740	26.40848
5.23266	27.43064
5.23791	26.79500
5.24317	25.64946
5.24843	25.11008
5.25368	24.24744
5.25894	23.10518
5.26419	23.04664
5.26945	24.17244
5.27470	24.89740
5.27996	24.89926
5.28522	24.12938
5.29047	24.57100
5.29573	24.96968
5.30098	24.61294
5.30624	23.88966
5.31149	23.78770
5.31675	23.78598
5.32200	23.88680
5.32725	24.27804
5.33251	24.80962
5.33776	24.25318
5.34302	23.79474
5.34827	24.03114
5.35353	24.29738
5.35878	24.25196
5.36403	25.11448
5.36929	25.68654
5.37454	24.66760
5.37980	23.97026
5.38505	24.93960
5.39030	25.64416
5.39556	25.55268
5.40081	25.11844
5.40606	24.72974
5.41132	23.90892
5.41657	23.59914
5.42182	24.07164
5.42708	24.85582
5.43233	24.38424
5.43758	24.96010
5.44283	25.41070
5.44809	24.57252
5.45334	24.40872
5.45859	24.91798
5.46384	25.39956
5.46909	25.31282
5.47435	24.47616
5.47960	24.55298
5.48485	24.86280
5.49010	25.55246
5.49535	25.55058
5.50061	24.94820
5.50586	24.71928
5.51111	25.35638
5.51636	25.88830
5.52161	24.90496
5.52686	24.92166
5.53211	24.70624
5.53736	24.74062
5.54262	24.75274
5.54787	24.30064
5.55312	23.83130
5.55837	23.89146
5.56362	24.28738
5.56887	24.53186
5.57412	24.40810
5.57937	24.56300
5.58462	24.65748
5.58987	24.60296
5.59512	24.05362
5.60037	23.72020
5.60562	23.56948
5.61087	23.68294
5.61612	23.61188
5.62137	23.89712
5.62662	23.73086
5.63187	23.41794
5.63711	23.60564
5.64236	23.45834
5.64761	23.81458
5.65286	24.14740
5.65811	25.21376
5.66336	27.65934
5.66861	31.44746
5.67386	36.42892
5.67910	44.67728
5.68435	55.87540
5.68960	66.23428
5.69485	70.12414
5.70010	65.48100
5.70535	56.38838
5.71059	44.64252
5.71584	35.12222
5.72109	29.48378
5.72634	27.21010
5.73158	25.26566
5.73683	24.56226
5.74208	23.65392
5.74733	23.20568
5.75257	22.92242
5.75782	22.53874
5.76307	23.60166
5.76831	24.71616
5.77356	24.53890
5.77881	23.95022
5.78405	23.50214
5.78930	23.29070
5.79455	22.83700
5.79979	22.47998
5.80504	23.44744
5.81028	24.10234
5.81553	23.70062
5.82078	23.74446
5.82602	23.67156
5.83127	23.61594
5.83651	23.80136
5.84176	24.06996
5.84700	24.39654
5.85225	24.68042
5.85749	23.71468
5.86274	23.27990
5.86798	23.03778
5.87323	23.42606
5.87847	24.02316
5.88372	24.93194
5.88896	25.52842
5.89421	24.14778
5.89945	22.85142
5.90469	22.19624
5.90994	21.80368
5.91518	22.07292
5.92043	22.39504
5.92567	23.45020
5.93091	23.65388
5.93616	23.73660
5.94140	23.42652
5.94664	23.56558
5.95189	23.87700
5.95713	23.31204
5.96237	24.28238
5.96762	25.20868
5.97286	25.39076
5.97810	24.83566
5.98335	23.59468
5.98859	23.31232
5.99383	22.92912
5.99907	23.29494
6.00432	23.57370
6.00956	23.90036
6.01480	23.90806
