text_1.dat                                                                      
poles     0  0  1
      phi     theta      int
  -112.500    49.902     0.000
  -107.500    49.902     0.000
  -102.500    49.902     0.000
   -97.500    49.902     0.000
   -92.500    49.902     0.028
   -87.500    49.902     0.028
   -82.500    49.902     0.000
   -77.500    49.902     0.000
   -72.500    49.902     0.000
   -67.500    49.902     0.000
   -62.500    49.902     0.000
   -57.500    49.902     0.000
   -52.500    49.902     0.000
   -47.500    49.902     0.000
   -42.500    49.902     0.000
   -37.500    49.902     0.000
   -32.500    49.902     0.000
   -27.500    49.902     0.000
   -22.500    49.902     0.000
   -17.500    49.902     0.000
   -12.500    49.902     0.000
    -7.500    49.902     0.000
    -2.500    49.902     0.028
     2.500    49.902     0.028
     7.500    49.902     0.000
    12.500    49.902     0.000
    17.500    49.902     0.000
    22.500    49.902     0.000
    27.500    49.902     0.000
    32.500    49.902     0.000
    37.500    49.902     0.000
    42.500    49.902     0.000
    47.500    49.902     0.000
    52.500    49.902     0.000
    57.500    49.902     0.000
    62.500    49.902     0.000
    67.500    49.902     0.000
    72.500    49.902     0.000
    77.500    49.902     0.000
    82.500    49.902     0.000
    87.500    49.902     0.028
    92.500    49.902     0.028
    97.500    49.902     0.000
   102.500    49.902     0.000
   107.500    49.902     0.000
   112.500    49.902     0.000
   117.500    49.902     0.000
   122.500    49.902     0.000
   127.500    49.902     0.000
   132.500    49.902     0.000
   137.500    49.902     0.000
   142.500    49.902     0.000
   147.500    49.902     0.000
   152.500    49.902     0.000
   157.500    49.902     0.000
   162.500    49.902     0.000
   167.500    49.902     0.000
   172.500    49.902     0.000
   177.500    49.902     0.028
   182.500    49.902     0.028
  -182.500    54.618     0.332
  -177.500    54.618     0.332
  -172.500    54.618     0.000
  -167.500    54.618     0.000
  -162.500    54.618     0.000
  -157.500    54.618     0.000
  -152.500    54.618     0.000
  -147.500    54.618     0.000
  -142.500    54.618     0.000
  -137.500    54.618     0.000
  -132.500    54.618     0.000
  -127.500    54.618     0.000
  -122.500    54.618     0.000
  -117.500    54.618     0.000
  -112.500    54.618     0.000
  -107.500    54.618     0.000
  -102.500    54.618     0.000
   -97.500    54.618     0.000
   -92.500    54.618     0.332
   -87.500    54.618     0.332
   -82.500    54.618     0.000
   -77.500    54.618     0.000
   -72.500    54.618     0.000
   -67.500    54.618     0.000
   -62.500    54.618     0.000
   -57.500    54.618     0.000
   -52.500    54.618     0.000
   -47.500    54.618     0.000
   -42.500    54.618     0.000
   -37.500    54.618     0.000
   -32.500    54.618     0.000
   -27.500    54.618     0.000
   -22.500    54.618     0.000
   -17.500    54.618     0.000
   -12.500    54.618     0.000
